date,probe,location,position,event,tow.id,time
2023-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP098F,20:10:47
2023-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP120F,17:59:36
2023-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP120F,18:03:57
2023-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP109F,16:02:42
2023-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP109F,16:09:34
2023-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP122F,14:36:41
2023-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP122F,14:42:16
2023-07-16,Star Oddi DST-TD,footrope,center,touchdown,GP142F,12:35:27
2023-07-16,Star Oddi DST-TD,footrope,center,liftoff,GP142F,12:41:00
2023-07-30,Star Oddi DST-TD,footrope,center,touchdown,GP151F,12:48:51
2023-07-30,Star Oddi DST-TD,footrope,center,touchdown,GP164F,11:42:09
2023-07-30,Star Oddi DST-TD,footrope,center,liftoff,GP164F,11:47:31
2023-07-30,Star Oddi DST-TD,footrope,center,touchdown,GP163F,10:38:46
2023-07-30,Star Oddi DST-TD,footrope,center,liftoff,GP163F,10:44:04
2023-07-30,Star Oddi DST-TD,footrope,center,touchdown,GP125FR1,06:43:16
2023-07-30,Star Oddi DST-TD,footrope,center,liftoff,GP125FR1,06:48:25
2023-07-29,Star Oddi DST-TD,footrope,center,touchdown,GP106F,20:40:32
2023-07-29,Star Oddi DST-TD,footrope,center,liftoff,GP106F,20:45:56
2023-07-29,Star Oddi DST-TD,footrope,center,touchdown,GP088FR2,19:08:22
2023-07-29,Star Oddi DST-TD,footrope,center,touchdown,GP084FR1,15:07:40
2023-07-29,Star Oddi DST-TD,footrope,center,liftoff,GP084FR1,15:13:21
2023-07-29,Star Oddi DST-TD,footrope,center,touchdown,GP094F,07:51:10
2023-07-29,Star Oddi DST-TD,footrope,center,liftoff,GP094F,07:56:24
2023-07-29,Star Oddi DST-TD,footrope,center,touchdown,GP099F,06:52:01
2023-07-29,Star Oddi DST-TD,footrope,center,liftoff,GP099F,06:57:17
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP113F,20:29:41
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP113F,20:35:04
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP127F,19:23:23
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP127F,19:28:57
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP149F,17:49:26
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP149F,17:54:49
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP158F,16:48:57
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP158F,16:54:20
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP176F,15:29:08
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP176F,15:34:39
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP179F,14:25:24
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP179F,14:30:37
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP198F,13:12:24
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP198F,13:17:57
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP206FR1,11:42:48
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP206FR1,11:48:08
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP202F,10:01:41
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP202F,10:07:01
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP184F,08:31:39
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP184F,08:36:53
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP159F,06:52:57
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP159F,06:58:25
2023-07-28,Star Oddi DST-TD,footrope,center,touchdown,GP147F,05:34:05
2023-07-28,Star Oddi DST-TD,footrope,center,liftoff,GP147F,05:39:48
2023-07-27,Star Oddi DST-TD,footrope,center,touchdown,GP128F,19:53:02
2023-07-27,Star Oddi DST-TD,footrope,center,liftoff,GP128F,19:58:21
2023-07-27,Star Oddi DST-TD,footrope,center,touchdown,GP133F,18:32:42
2023-07-27,Star Oddi DST-TD,footrope,center,liftoff,GP133F,18:37:52
2023-07-30,Star Oddi DST-TD,footrope,center,touchdown,GP124F,14:35:05
2023-07-30,Star Oddi DST-TD,footrope,center,liftoff,GP124F,14:40:31
2023-07-30,Star Oddi DST-TD,footrope,center,touchdown,GP105F,15:25:02
2023-07-30,Star Oddi DST-TD,footrope,center,liftoff,GP105F,15:30:19
2023-07-30,Star Oddi DST-TD,footrope,center,touchdown,GP080F,16:46:21
2023-07-30,Star Oddi DST-TD,footrope,center,liftoff,GP080F,16:52:15
2023-07-30,Star Oddi DST-TD,footrope,center,touchdown,GP076F,18:07:57
2023-07-30,Star Oddi DST-TD,footrope,center,liftoff,GP076F,18:12:58
2023-07-30,Star Oddi DST-TD,footrope,center,touchdown,GP068F,19:40:56
2023-07-30,Star Oddi DST-TD,footrope,center,liftoff,GP068F,19:46:25
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP049FR1,05:49:18
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP049FR1,05:54:44
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP061F,06:49:12
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP061F,06:54:26
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP067F,08:30:14
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP067F,08:35:36
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP048F,09:29:29
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP048F,09:34:36
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP066F,10:15:45
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP066F,10:20:56
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP070F,11:23:46
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP070F,11:28:52
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP047F,12:54:01
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP047F,12:59:16
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP050F,14:04:31
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP050F,14:09:45
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP044FR1,15:47:18
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP044FR1,15:52:38
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP046F,16:51:05
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP046F,16:56:31
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP036F,18:13:49
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP036F,18:19:06
2023-07-31,Star Oddi DST-TD,footrope,center,touchdown,GP026F,19:30:11
2023-07-31,Star Oddi DST-TD,footrope,center,liftoff,GP026F,19:35:34
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP024F,05:37:12
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP024F,05:42:48
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP025F,07:57:12
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP025F,08:02:36
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP023F,08:57:02
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP023F,09:02:27
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP016F,10:15:20
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP016F,10:20:39
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP019F,11:44:36
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP019F,11:49:59
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP018F,12:53:47
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP018F,12:58:57
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP028F,14:14:48
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP028F,14:20:00
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP032F,15:17:20
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP032F,15:22:38
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP022F,16:39:47
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP022F,16:45:35
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP030F,17:39:29
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP030F,17:45:04
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP040F,18:44:30
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP040F,18:49:50
2023-08-01,Star Oddi DST-TD,footrope,center,touchdown,GP042F,20:05:37
2023-08-01,Star Oddi DST-TD,footrope,center,liftoff,GP042F,20:11:06
2023-08-02,Star Oddi DST-TD,footrope,center,touchdown,GP052F,05:39:31
2023-08-02,Star Oddi DST-TD,footrope,center,liftoff,GP052F,05:45:04
2023-08-02,Star Oddi DST-TD,footrope,center,touchdown,GP051F,06:50:58
2023-08-02,Star Oddi DST-TD,footrope,center,liftoff,GP051F,06:56:21
2023-08-02,Star Oddi DST-TD,footrope,center,touchdown,GP041F,08:12:09
2023-08-02,Star Oddi DST-TD,footrope,center,liftoff,GP041F,08:17:14
2023-08-02,Star Oddi DST-TD,footrope,center,touchdown,GP031F,09:39:21
2023-08-02,Star Oddi DST-TD,footrope,center,liftoff,GP031F,09:44:38
2023-08-02,Star Oddi DST-TD,footrope,center,touchdown,GP045F,14:25:43
2023-08-02,Star Oddi DST-TD,footrope,center,liftoff,GP045F,14:32:06
2023-08-02,Star Oddi DST-TD,footrope,center,touchdown,GP053F,15:43:07
2023-08-02,Star Oddi DST-TD,footrope,center,liftoff,GP053F,15:48:45
2023-08-02,Star Oddi DST-TD,footrope,center,touchdown,GP062F,17:16:50
2023-08-02,Star Oddi DST-TD,footrope,center,liftoff,GP062F,17:22:32
2023-08-02,Star Oddi DST-TD,footrope,center,touchdown,GP060F,18:29:04
2023-08-02,Star Oddi DST-TD,footrope,center,liftoff,GP060F,18:34:28
2023-08-02,Star Oddi DST-TD,footrope,center,touchdown,GP082F,19:50:38
2023-08-02,Star Oddi DST-TD,footrope,center,liftoff,GP082F,19:56:12
2023-08-03,Star Oddi DST-TD,footrope,center,touchdown,GP055F,05:40:56
2023-08-03,Star Oddi DST-TD,footrope,center,liftoff,GP055F,05:46:38
2023-08-03,Star Oddi DST-TD,footrope,center,touchdown,GP021F,07:02:23
2023-08-03,Star Oddi DST-TD,footrope,center,liftoff,GP021F,07:07:52
2023-08-03,Star Oddi DST-TD,footrope,center,touchdown,GP017F,08:11:48
2023-08-03,Star Oddi DST-TD,footrope,center,liftoff,GP017F,08:17:00
2023-08-03,Star Oddi DST-TD,footrope,center,touchdown,GP015F,09:15:05
2023-08-03,Star Oddi DST-TD,footrope,center,liftoff,GP015F,09:20:35
2023-08-07,Star Oddi DST-TD,footrope,center,touchdown,GP009F,14:15:02
2023-08-07,Star Oddi DST-TD,footrope,center,liftoff,GP009F,14:21:03
2023-08-07,Star Oddi DST-TD,footrope,center,touchdown,GP008F,15:19:44
2023-08-07,Star Oddi DST-TD,footrope,center,liftoff,GP008F,15:24:40
2023-08-07,Star Oddi DST-TD,footrope,center,touchdown,GP006F,16:03:52
2023-08-07,Star Oddi DST-TD,footrope,center,liftoff,GP006F,16:09:09
2023-08-07,Star Oddi DST-TD,footrope,center,touchdown,GP004F,17:52:46
2023-08-07,Star Oddi DST-TD,footrope,center,liftoff,GP004F,17:57:50
2023-08-07,Star Oddi DST-TD,footrope,center,touchdown,GP002F,19:13:32
2023-08-07,Star Oddi DST-TD,footrope,center,liftoff,GP002F,19:18:42
2023-08-08,Star Oddi DST-TD,footrope,center,touchdown,GP001F,05:54:47
2023-08-08,Star Oddi DST-TD,footrope,center,liftoff,GP001F,05:59:55
2023-08-08,Star Oddi DST-TD,footrope,center,touchdown,GP003F,07:02:51
2023-08-08,Star Oddi DST-TD,footrope,center,liftoff,GP003F,07:08:10
2023-08-08,Star Oddi DST-TD,footrope,center,touchdown,GP005F,08:35:17
2023-08-08,Star Oddi DST-TD,footrope,center,liftoff,GP005F,08:40:26
2023-08-08,Star Oddi DST-TD,footrope,center,touchdown,GP007F,09:50:20
2023-08-08,Star Oddi DST-TD,footrope,center,liftoff,GP007F,09:55:47
2023-08-08,Star Oddi DST-TD,footrope,center,touchdown,GP011F,11:19:31
2023-08-08,Star Oddi DST-TD,footrope,center,liftoff,GP011F,11:24:20
2023-08-08,Star Oddi DST-TD,footrope,center,touchdown,GP010F,12:31:39
2023-08-08,Star Oddi DST-TD,footrope,center,liftoff,GP010F,12:36:11
2023-08-08,Star Oddi DST-TD,footrope,center,touchdown,GP012F,14:13:58
2023-08-08,Star Oddi DST-TD,footrope,center,liftoff,GP012F,14:19:01
2023-08-08,Star Oddi DST-TD,footrope,center,touchdown,GP013F,15:52:57
2023-08-08,Star Oddi DST-TD,footrope,center,liftoff,GP013F,15:58:18
2023-08-08,Star Oddi DST-TD,footrope,center,touchdown,GP020F,18:14:10
2023-08-08,Star Oddi DST-TD,footrope,center,liftoff,GP020F,18:19:32
2023-08-08,Star Oddi DST-TD,footrope,center,touchdown,GP014F,19:18:02
2023-08-08,Star Oddi DST-TD,footrope,center,liftoff,GP014F,19:22:21
